term_id,name,slug,count
134,AI,ai,4
133,"Baby 2024",baby-2024,4
5,Facebook,facebook,13
6,Fun,fun,3
7,Informational,informational,8
8,Instagram,instagram,31
20,Intro,intro,1
98,LinkedIn,linkedin,1
10,"My Story",my-story,5
155,Newsletter,newsletter,4
13,Photoshop,photoshop,6
14,Poems,poems,2
147,Powershell,powershell,1
15,pse2015,pse2015,5
129,Q&amp;A,qa,1
16,"Site Admin",site-admin,9
97,"Social Media",social-media,0
112,Technology,technology,7
17,"Techy Tips",techy-tips,10
18,Testing,testing,0
19,Twitter,twitter,11
1,Uncategorized,uncategorized,34
96,YouTube,youtube,1
